"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"FUSE Internship",,"The electrification revolution is advancing very rapidly but its apparent complexity can confuse consumers and slow down adoption. The popularity of social media provides an opportunity to create a broadcast series informing the general public and other stakeholders of the background to electrification. The aim of this FUSE proposal is to train an undergraduate student how to script and make podcasts. It will train them in the general areas of what batteries are, how they are made and recycled and what are the latest developments in the field. They will get very good transferrable skills and clear outputs with at least 6 podcasts. It will provide the Faraday Institution with a good communication tool and allow us to bring in experts from around the project as well as international contributions. The training of other Faraday researchers will ensure that the project is self sustaining.",505990,TP10505990,,"Project Live",Locked,Successful,"Andy Abbott (APA1),Post-award Admin,Pre-award Admin",1,2023-06-01,2023-09-30,,"TS - Studentship",Studentship,,"FARADAY INSITTUTION Faraday Insittution","FARADAY INSITTUTION Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,,,"2023-03-10 14:41",,"2024-03-09 00:00",2023-02-23,,"Andy Abbott (APA1)",,,"Only people involved in this project",,,Yes,,,,,"SE/CH: Materials & Interfaces",,"SE/CH: Materials & Interfaces","SE/CH: Materials & Interfaces",,"SE/CH: Materials & Interfaces",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)","James Bird (JHBB1)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Chemistry,FITG-FUSE143,"14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-03-02 14:05",,,,,,,3562.00,3562.00,5889.33,5889.33,3562.00,3562.00,-2327.33,60.48,-2327.33,-65.34,-2327.33,-65.34,3562.00,3562.00,2939.68,622.32,0.00,622.32,5889.33,5889.33,3562.00,3562.00,2939.68,622.32,0.00,622.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3562.00,3562.00,5889.33,5889.33,3562.00,3562.00,-2327.33,60.48,-2327.33,-65.34,-2327.33,-65.34,"2023-04-14 15:26:31",,Discoverable,,"2023-02-23 14:34:12","Andy Abbott (APA1)","2023-04-14 15:26"
"DiRAC-3 Operations 2023-26 - Leicester",,,500184,RP16W500184,,"Project Live",Locked,Successful,"Lisa Brant (LEB24),Mark Wilkinson (MIW6),Post-award Admin,Pre-award Admin",3,2023-04-01,2026-03-31,,"RO - Standard Research",Research,,"STFC Science & Technology Facilities Cnl","STFC Default Scheme","Research Councils - STFC","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,,,"2022-01-27 17:55",,"2023-01-27 00:00",2023-02-28,,"Mark Wilkinson (MIW6)",,"Lisa Brant (LEB24)","Only people involved in this project",,,Yes,,,,,"SE/PA: Theoretical Astrophysics",,"SE/PA: Theoretical Astrophysics","SE/PA: Theoretical Astrophysics",,"SE/PA: Theoretical Astrophysics",,No,,,,"99 - Not Applicable for Institute reporting",,"Sue Atkinson (SAM45)","Peter Creese (PC326)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Physics,ST/X000311/1,"12 - Claim to be submitted - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-02-28 17:52",,,,,,"SAPGM RP16G1340 #43748 submitted Jan 2022
Funding for DiRAC for 2023-26 FY (minus Salary and OH for PI) 
- See RP16G1394 for PI Salary and OH
Check joint application status - possible CA required",0.00,1754820.11,0.00,1873286.12,0.00,1768540.00,-118466.01,93.68,152638.87,8.7,152638.87,8.7,1768540.00,1768540.00,86952.74,1681587.26,26062.84,1655524.42,1602181.24,1602181.24,1768540.00,1768540.00,86952.74,1681587.26,26062.84,1655524.42,98536.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271104.88,1754820.11,0.00,1873286.12,0.00,1768540.00,0.00,-118466.01,93.68,152638.87,8.7,152638.87,8.7,"2023-04-13 16:31:01",,Discoverable,,"2023-02-16 18:14:48","Sue Atkinson (SAM45)","2023-10-04 11:50"
"Development of biosensors based on nanodiamond including nanocrystalline boron-doped diamond electrodes and fluorescent nanodiamonds for tumor biomarkers analysis",,"Development of biosensors based on nanodiamond including nanocrystalline boron-doped diamond electrodes and fluorescent nanodiamonds for tumor biomarkers analysis",532430,RP12W532430,,"Project Live",Locked,Successful,"Haitao Ye (HY122),Post-award Admin,Pre-award Admin",2,2023-03-31,2025-03-30,,"RV - Research Travel Only",Research,,"ROYAL SOCIETY The Royal Society","ROYAL SOCIETY Default Scheme","Research Councils (BEIS) - Roy Society and Brit Academy","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"International Exchanges 2022 Cost Share (NSFC)",,,,,,"2022-11-28 18:00",,"2023-11-28 00:00",2023-03-30,,"Haitao Ye (HY122)",,,"Only people involved in this project",,,Yes,,,,,"SE/EN: Mechanics of materials",,"SE/EN: Mechanics of materials","SE/EN: Mechanics of materials",,"SE/EN: Mechanics of materials",,,,,,"99 - Not Applicable for Institute reporting",,,"Viral Patel (VP186)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"General engineering","Our ref: IEC\NSFC\223318 - International Exchanges 2022 Cost Share (NSFC)","10 - Automatic payment by Funder - Actual Costs",,,,,"2023-03-30 17:58",,,,,,"Lucre costing 45339",0.00,12000.00,0.00,12000.00,0.00,12000.00,0.00,100,0.00,0,0.00,0,12000.00,12000.00,4318.20,7681.80,0.00,7681.80,12000.00,12000.00,12000.00,12000.00,4318.20,7681.80,0.00,7681.80,12000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12000.00,0.00,12000.00,0.00,12000.00,0.00,0.00,100,0.00,0,0.00,0,"2023-04-13 15:25:33",,Discoverable,,"2023-03-30 17:30:23","Anna Kardas (AM565)","2023-04-13 15:25"
"ReLiB3 Recycling Of Li-ion Batteries 3",ReLiB3,,517963,RP10W517963,,"Project Live",Locked,Successful,"Andy Abbott (APA1),Karl Ryder (KSR7),Post-award Admin,Pre-award Admin",2,2023-04-01,2025-03-31,,"RO - Standard Research",Research,,"FARADAY INSITTUTION Faraday Insittution","FARADAY INSITTUTION Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,,,"2023-01-06 09:40",,"2024-01-06 00:00",2023-02-08,,"Andy Abbott (APA1)","Karl Ryder (KSR7)",,"Only people involved in this project",,"University of Birmingham",Yes,,,,,"SE/CH: Materials & Interfaces",,"SE/CH: Materials & Interfaces","SE/CH: Materials & Interfaces",,"SE/CH: Materials & Interfaces",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)","James Bird (JHBB1)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Chemistry,FIRG057,"14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-04-04 09:42",,,,,,"SAP Application reported 08.01.2023 RP10G0621",0.00,738348.21,0.00,1013323.32,0.00,922935.26,-274975.11,72.86,311968.85,42.25,228763.29,30.98,394671.98,922935.26,217758.96,705176.30,11419.46,693756.84,426379.37,426379.37,394671.98,922935.26,217758.96,705176.30,11419.46,693756.84,67000.00,40000.00,0.00,212499.56,83205.56,115374.60,13919.40,374444.40,0.00,738348.21,0.00,1013323.32,0.00,922935.26,0.00,-274975.11,72.86,311968.85,42.25,228763.29,30.98,"2023-04-13 14:17:01",,Discoverable,,"2023-03-10 12:31:54","Sara Mounteney (SLM81)","2023-04-13 14:17"
"HORIZON-CL5-2023-D1-01-06: Broadening the range of policy options in transition pathway analysis",,,536718,,,"Bid Development",,Pending,"Matthias Dahm (MD437),Pre-award Admin",3,2024-01-01,2026-12-31,,"RO - Standard Research",Research,,"ERC European Research Council (ERC)","ERC Default Scheme","EU Government Bodies (inc European Commission but not UK)","Y6 Income - Outside the Scope",,,"HORIZON-CL5-2023-D1-01-06: Broadening the range of policy options in transition pathway analysis",,,,"2023-04-18 14:15",,,,,,,"Matthias Dahm (MD437)",,,"Only people involved in this project",,,Yes,,,,,"SS/BU: Acc'ing, Ec'mics & Finance, Dept",,"SS/BU: Acc'ing, Ec'mics & Finance, Dept","SS/BU: Acc'ing, Ec'mics & Finance, Dept",,"SS/BU: Acc'ing, Ec'mics & Finance, Dept",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,837364.75,,1287111.72,,837364.75,-449746.96,65.06,248089.00,29.63,164883.44,19.69,587100.20,837364.75,0.00,837364.75,0.00,837364.75,589275.76,589275.76,587100.20,837364.75,0.00,837364.75,0.00,837364.75,5770.00,0.00,0.00,153189.56,83205.56,69984.00,0.00,544646.40,0.00,837364.75,,1287111.72,,837364.75,,-449746.96,65.06,248089.00,29.63,164883.44,19.69,"2023-04-13 14:13:39",,Private,,"2023-04-13 14:11:46","Laura Flavell (LF211)","2023-04-13 14:38"
"Artificial Metalloenzymes with Novel Reactivities: Expanding the Biocatalytic Toolbox for Sustainable Chemistry",,"Artificial Metalloenzymes with Novel Reactivities: Expanding the Biocatalytic Toolbox for Sustainable Chemistry",535541,RP10W535541,,"Project Live",Locked,Successful,"Patricia Rodriguez Macia (PRM28),Post-award Admin,Pre-award Admin",1,2023-04-01,2024-03-31,,"RO - Standard Research",Research,,"ROYAL SOCIETY The Royal Society","ROYAL SOCIETY Default Scheme","Research Councils (BEIS) - Roy Society and Brit Academy","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Research Grants 2023 Round 1",,,,,,"2022-11-23 16:10",,"2023-11-23 00:00",2023-03-30,,"Patricia Rodriguez Macia (PRM28)",,,"Only people involved in this project",,,Yes,,,,,"SE/CH: Chemical Learning E & P",,"SE/CH: Chemical Learning E & P","SE/CH: Chemical Learning E & P",,"SE/CH: Chemical Learning E & P",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)","James Bird (JHBB1)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Chemistry,RGS\R1\231433,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-04-12 16:11",,,,,,"LUCRE Costing 45636, application reported in SAP 23.11.2022 (RP10G0620)",0.00,49221.44,0.00,77783.69,0.00,49221.44,-28562.25,63.28,0.00,0,-13297.45,-27.02,49221.44,49221.44,3459.85,45761.59,34727.37,11034.22,49221.44,49221.44,49221.44,49221.44,3459.85,45761.59,34727.37,11034.22,49221.44,10529.00,31792.44,17215.45,13297.45,3496.20,421.80,11346.80,0.00,49221.44,0.00,77783.69,0.00,49221.44,0.00,-28562.25,63.28,0.00,0,-13297.45,-27.02,"2023-04-13 13:36:00",,Discoverable,,"2023-04-12 10:42:59","Sara Mounteney (SLM81)","2023-04-13 14:19"
"PHOSP saliva sampling",,,423665,RM63G1176,,"Extension Approval",Locked,Successful,"Post-award Admin",2,2022-03-24,2023-03-31,2026-03-31,"RO - Standard Research",Research,"Legacy Project","UHL University Hospitals of Leicester",,"UK Health & Hospitals",,,,,,,,,,"2022-03-25 00:00",,,2022-04-05,,"Christopher Brightling (CEB17)",,,"Only people involved in this project",,,Yes,,,,,"PHOSP saliva sampling",,"PHOSP saliva sampling","LS: Respiratory Sciences",,"LS: Respiratory Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,31680.00,0.00,31680.00,0.00,31680.00,0.00,100,0.00,0,0.00,0,31680.00,31680.00,0.00,31680.00,0.00,31680.00,31680.00,31680.00,31680.00,31680.00,0.00,31680.00,0.00,31680.00,31680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31680.00,0.00,31680.00,0.00,31680.00,0.00,0.00,100,0.00,0,0.00,0,"2023-04-13 11:57:25",,Discoverable,,"2022-11-16 14:03:19","David Downton (dd22)","2023-04-13 11:57"
"Clinical Research Fellow Total Cost",CRF,"To support Ranjit Arnold",536562,,,"Bid Development",,Pending,"Gerry McCann (GPM12),Pre-award Admin,Sally Utton (SU47)",2,2023-08-01,2025-07-31,,"RF - Research Fellowship",Research,,"UHL University Hospitals of Leicester","UHL Default Scheme","UK Health & Hospitals",,,,,,,,,,,,,,,"Gerry McCann (GPM12)",,"Sally Utton (SU47)","Only people involved in this project",,,,,,,,"LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155503.77,,305734.80,,308151.77,-150231.02,50.86,2416.98,1.55,2416.98,1.55,155503.77,308151.77,0.00,308151.77,0.00,308151.77,153086.80,153086.80,155503.77,308151.77,0.00,308151.77,0.00,308151.77,0.00,0.00,0.00,39180.00,0.00,34962.00,4218.00,113468.00,0.00,155503.77,,305734.80,,308151.77,,-150231.02,50.86,2416.98,1.55,2416.98,1.55,"2023-04-13 11:57:23",,Private,,"2023-04-13 11:56:52","Gerry McCann (GPM12)","2023-04-19 11:19"
"Future Flight: Challenges Consultancy for Innovate UK","Future Flight: Challenges","Leicester will undertake a project to perform an analysis (collation) of public domain publications on the legal/policy implications associated with the changing landscape for UAV’s and Advanced Air Mobility (AAM) flight operations. 

This consultancy relates to reviewing and analysing the challenges associated with future flight initiatives - summarising findings and making recommendations as to what policy changes and legislation is advantageous to consider.

PLEASE NOTES: as requested this has been conducted outside of Dr Fox's university time/hours (at weekends/evenings)",525328,OW13525328,,"Project Live",Locked,Successful,"Henrietta O'Connor (HSO1),Post-award Admin,Pre-award Admin,Sarah Fox (SJF48)",1,2023-04-01,2024-03-31,,"OH - Consultancy (OSR)",Other,,"INNOVATE UK Innovate UK","INNOVATE UK Default Scheme","Research Councils - UKRI","T2 - 20% VAT on Expenditure fully recoverable,YS Income - Standard Rated 20% VAT",,,,,,,,,"2023-03-31 16:22",,"2024-03-30 00:00",2023-03-31,,"Sarah Fox (SJF48)",,"Henrietta O'Connor (HSO1)","Only people involved in this project",,,Yes,,,,,"SS/LL: Law",,"SS/LL: Law","SS/LL: Law",,"SS/LL: Law",,,,,,"99 - Not Applicable for Institute reporting",,,,"Post-award Admin (Project Setup)","Post-award Admin","Josef Walker (JAW69)",,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Law,PO-00035116,"15 - Invoice to be Raised - Fixed Price",,Consultancy,"UKRI Research Councils, Royal Society and British Academy (Collaborative)",,"2023-03-31 12:25",,,,,,"As above this is a retrospective application - project to be completed before 5 April 2023.

Please note my Head of School - Sally Kyd was aware but this was later submitted than intended due to other projects and teaching requirements.",9600.00,9600.00,7487.06,7487.06,7487.06,9600.00,2112.94,128.22,5605.16,58.39,5605.16,58.39,6107.78,9600.00,8670.90,929.10,0.00,929.10,3994.84,3994.84,6107.78,9600.00,8670.90,929.10,0.00,929.10,0.00,0.00,0.00,397.64,0.00,397.64,0.00,3094.58,0.00,9600.00,9600.00,7487.06,7487.06,9600.00,7487.06,2112.94,128.22,5605.16,58.39,5605.16,58.39,"2023-04-13 11:47:23",,Private,,"2023-03-21 12:25:51","Sarah Fox (SJF48)","2023-04-13 11:47"
"Weaving ecologies - intangible heritage between social and environmental justice",,RA17G0291,450537,RA17W450537,,"Project Live",Locked,Successful,"Post-award Admin,Pre-award Admin,Yunci Cai (YC277)",1,2023-07-03,2023-10-02,,"RF - Research Fellowship",Research,,"BRITISH ACADEMY The British Academy","BRITISH ACADEMY Default Scheme","Research Councils (BEIS) - Roy Society and Brit Academy","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"BA Visiting Fellowship",,https://www.thebritishacademy.ac.uk/funding/visiting-fellowships/,,"2022-12-07 17:00",33000.00,"2022-12-06 16:45",,"2023-12-06 00:00",2023-03-22,,"Yunci Cai (YC277)",,,"Only people involved in this project",,,Yes,,,,,"SS/MS: Museum Studies",,"SS/MS: Museum Studies","SS/MS: Museum Studies",,"SS/MS: Museum Studies",,,,,,"99 - Not Applicable for Institute reporting",,"Sobia Aslam (SA1034)",,"Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Media studies",VF2\100877,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-03-22 16:44",,,,,,"This application was reported in SAPGM. RA17G0291

The fellow has sent a request to the funder to change the start date of this fellowship to 14th July 2023. Awaiting response.",0.00,31365.00,0.00,31365.00,0.00,31365.00,0.00,100,10455.00,33.33,10455.00,33.33,20910.00,31365.00,23050.85,8314.15,0.00,8314.15,20910.00,20910.00,20910.00,31365.00,23050.85,8314.15,0.00,8314.15,20910.00,7860.00,0.00,10455.00,0.00,0.00,0.00,0.00,0.00,31365.00,0.00,31365.00,0.00,31365.00,0.00,0.00,100,10455.00,33.33,10455.00,33.33,"2023-04-13 11:30:08",,Discoverable,,"2022-11-30 12:59:30","Ellen Puurman (EP258)","2023-04-13 11:30"
"High-throughput transcriptomic analysis in endothelial cells to identify response eQTLs relevant to cardiovascular disease using a cell village approach",,,533470,,,"Bid Development",,Pending,"David McVey (DGM14),Pre-award Admin,Thomas Webb (TW126)",1,2023-09-01,2024-06-15,,"RF - Research Fellowship",Research,,"BHF British Heart Foundation","BRITISH HEART Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,"BHF Accelerator ECR Interdisciplinary Fellowship",,,,"2023-04-13 23:55",,,,,,,"David McVey (DGM14)","Thomas Webb (TW126)",,"Only people involved in this project",,,Yes,,,,,"LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,57492.63,,118097.75,,57492.63,-60605.13,48.68,-181.96,-0.32,-181.96,-0.32,57492.63,57492.63,0.00,57492.63,0.00,57492.63,57674.58,57674.58,57492.63,57492.63,0.00,57492.63,0.00,57492.63,8924.98,8425.00,0.00,15508.75,0.00,13839.13,1669.63,44914.42,0.00,57492.63,,118097.75,,57492.63,,-60605.13,48.68,-181.96,-0.32,-181.96,-0.32,"2023-04-13 10:42:36",,Private,,"2023-04-03 10:59:37","David McVey (DGM14)","2023-04-13 10:42"
"The Rural Racism Project: Re-storying Life in the Countryside",,,517339,RS301W517339,,"Project Live",Locked,Successful,"Amy Clarke (ALC51),Corinne Fowler (CSF11),Neil Chakraborti (NAC5),Post-award Admin,Pre-award Admin",2,2023-10-01,2025-09-30,,"RO - Standard Research",Research,,"THE LEVERHULME TRUST The Leverhulme Trust","THE LEVERHULME TRUST Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Research Project Grant",,https://www.leverhulme.ac.uk/research-project-grants,,,,"2022-06-01 12:50",,"2023-06-01 00:00",2023-03-09,,"Neil Chakraborti (NAC5)","Amy Clarke (ALC51),Corinne Fowler (CSF11)",,"Only people involved in this project",,,Yes,,,,,"SS/CR: Criminology","SS/MS: Museum Studies","SS/CR: Criminology,SS/MS: Museum Studies","SS/CR: Criminology","SS/MS: Museum Studies","SS/CR: Criminology,SS/MS: Museum Studies",,,,,,"99 - Not Applicable for Institute reporting",,"Laura Flavell (LF211)",,"Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Social work & social policy",RPG-2023-010,"12 - Claim to be submitted - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-04-12 12:50",,,,,,,0.00,350278.00,0.00,955965.30,0.00,350278.00,-605687.30,36.64,-30364.59,-8.67,-166482.66,-47.53,350278.00,350278.00,0.00,350278.00,0.00,350278.00,380642.59,380642.59,350278.00,350278.00,0.00,350278.00,0.00,350278.00,43700.00,0.00,0.00,186127.47,136118.07,50009.40,0.00,389195.24,0.00,350278.00,0.00,955965.30,0.00,350278.00,0.00,-605687.30,36.64,-30364.59,-8.67,-166482.66,-47.53,"2023-04-13 10:36:02",,Discoverable,,"2023-03-09 15:37:42","Laura Flavell (LF211)","2023-04-13 10:36"
"BRUFSS: Building Resilience in the UK’s Food Supply Chain System",,"SAPGM no. RS101G0418",525466,RS101W525466,,"Project Live",Locked,Successful,"Ade Oyedijo (AO290),Meng Jia (MJ302),Post-award Admin,Pre-award Admin",2,2023-09-15,2025-03-15,,"RO - Standard Research",Research,,"BRITISH ACADEMY The British Academy","BRITISH ACADEMY Default Scheme","Research Councils (BEIS) - Roy Society and Brit Academy","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"BA/Leverhulme Small Research Grants",,https://www.thebritishacademy.ac.uk/funding/ba-leverhulme-small-research-grants/,,"2022-11-09 17:00",10000.00,"2022-11-14 10:15",,"2023-11-14 00:00",2023-03-28,,"Ade Oyedijo (AO290)","Meng Jia (MJ302)",,"Only people involved in this project",,,Yes,,,,,"SS/BU: M'ing, Innov', Str'gy & Ops, Dept",,"SS/BU: M'ing, Innov', Str'gy & Ops, Dept","SS/BU: M'ing, Innov', Str'gy & Ops, Dept",,"SS/BU: M'ing, Innov', Str'gy & Ops, Dept",,No,,,,"99 - Not Applicable for Institute reporting",,"Helena Wright (HW194)",,"Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Business & management studies",SRG2223\231174,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-03-27 17:14",,,,,,"The application was reported in SAPGM no. RS101G0418

The award letter states the amount awarded is £50 more than the application form/LUCRE request. £50 extra added on as travel in WT 

The dates for this project have changed. Original costings in LUCRE for 2 years but the submitted application was for 18 months and the actual project dates are for 18 months. There are no staff costs funded on this grant so it doesn't affect the budget requested.",0.00,9460.30,0.00,40182.04,0.00,9460.30,-30721.74,23.54,0.00,0,-16302.58,-172.33,9460.30,9460.30,0.00,9460.30,0.00,9460.30,9460.30,9460.30,9460.30,9460.30,0.00,9460.30,0.00,9460.30,9460.30,0.00,0.00,17944.39,16302.58,1641.82,0.00,12777.35,0.00,9460.30,0.00,40182.04,0.00,9460.30,0.00,-30721.74,23.54,0.00,0,-16302.58,-172.33,"2023-04-13 09:51:01",,Discoverable,,"2023-03-21 14:42:55","Helena Wright (HW194)","2023-04-13 09:51"
"Testbed: Double Walled Isolator","DWI QM",,506177,,,"Bid Development",,Pending,"Bev Robinson (BAR4),John Holt (JMCH1),Pre-award Admin",3,2023-08-01,2026-01-31,,"RO - Standard Research",Research,,"ESA-ESTEC European Space Agency","ESA-ESTEC Default Scheme","EU Other (Including non-competitive Based Charities)","Y5 Income - Services to EU - Zero Rate",,,ITT,,,,,,,,,,,"John Holt (JMCH1)","Bev Robinson (BAR4)","Bev Robinson (BAR4)","Only people involved in this project",,,Yes,,,,,"SE/PA: Space Research Centre","SE/PA: Physics & Astronomy","SE/PA: Physics & Astronomy,SE/PA: Space Research Centre","SE/PA: Space Research Centre","SE/PA: Physics & Astronomy","SE/PA: Physics & Astronomy,SE/PA: Space Research Centre",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,3798471.37,,3809531.46,,3798471.37,-11060.10,99.71,1895438.89,49.9,942989.90,24.83,1895946.47,3798471.37,0.00,3798471.37,0.00,3798471.37,1903032.47,1903032.47,1895946.47,3798471.37,0.00,3798471.37,0.00,3798471.37,0.00,0.00,0.00,1197323.99,952448.99,218512.50,26362.50,709175.00,0.00,3798471.37,,3809531.46,,3798471.37,,-11060.10,99.71,1895438.89,49.9,942989.90,24.83,"2023-04-13 09:04:18",,Private,,"2023-02-23 17:08:53","Bev Robinson (BAR4)","2023-07-25 12:11"
